,dataset,last_val_loss
4689,MER-RH-SH-t2m-TCC-TCWV-tp-UW-MSLP,588.6032104492188
2107,MSSHF-t2m-TCC-UW-VW-MSLP-Z500,588.6196899414062
2639,MER-MSSHF-SH-TCWV-tp-UW-MSLP-Z500,588.9042358398438
2569,MSSHF-RH-SH-t2m-UW-VW-MSLP-SST-Z500,588.963623046875
4740,MER-MSSHF-RH-SH-TCC-TCWV-tp-UW-SST,589.0845336914062
2218,MER-MSSHF-RH-SH-t2m-TCWV-tp-UW-MSLP,589.2703857421875
1040,MER-RH-SH-t2m-tp-UW-VW-MSLP-Z500,589.3381958007812
6281,MER-MSSHF-RH-t2m-TCC-TCWV-tp-VW-MSLP-SST,589.387939453125
1893,MSSHF-RH-SH-t2m-TCC-TCWV-tp-UW-VW-SST,589.4850463867188
1935,MSSHF-RH-SH-t2m-TCC-TCWV-UW-VW,589.4884033203125
5816,MER-RH-t2m-TCWV-UW-VW-Z500,589.621826171875
6730,RH-SH-t2m-TCC-TCWV-tp-UW-SST-Z500,589.7392578125
4355,MER-MSSHF-RH-SH-t2m-VW-Z500,589.806884765625
5583,MER-RH-SH-TCWV-tp-VW-MSLP-SST,589.9019165039062
3542,MER-MSSHF-RH-SH-t2m-TCWV-tp-UW-VW-MSLP,590.183837890625
948,RH-SH-TCC-TCWV-tp-UW-MSLP-Z500,590.1856689453125
5530,MER-MSSHF-t2m-TCC-TCWV-UW-MSLP-SST,590.1932983398438
1252,MER-MSSHF-RH-SH-TCWV-VW-SST-Z500,590.2213134765625
5291,MER-MSSHF-RH-TCWV-tp-VW-SST,590.3942260742188
5674,MER-SH-t2m-TCC-TCWV-tp-UW-VW-MSLP-Z500,590.6474609375
5654,MSSHF-RH-TCC-TCWV-tp-UW-VW-MSLP-SST-Z500,590.7288818359375
4364,MER-MSSHF-RH-SH-t2m-TCC-tp-VW-MSLP,590.8115234375
2925,MER-MSSHF-RH-SH-t2m-TCC-UW-Z500,590.9960327148438
912,MER-RH-SH-t2m-TCWV-tp-UW-VW-MSLP-SST,591.0001831054688
2621,MER-MSSHF-TCC-TCWV-UW-VW-MSLP-SST,591.04248046875
4199,MER-MSSHF-RH-SH-UW-VW-MSLP-Z500,591.1583251953125
2727,MER-RH-t2m-TCC-TCWV-tp-UW-VW-MSLP-Z500,591.644287109375
636,MER-MSSHF-RH-SH-t2m-VW-MSLP-Z500,591.6473388671875
3555,MER-MSSHF-RH-SH-t2m-TCWV-UW-MSLP,591.6847534179688
5345,MER-MSSHF-RH-SH-t2m-TCC-TCWV-UW-VW-Z500,591.7134399414062
4157,MER-MSSHF-SH-TCC-TCWV-tp-UW-MSLP-SST,591.7236938476562
5695,MSSHF-SH-TCC-TCWV-tp-UW-VW-MSLP,591.8642578125
1108,MER-MSSHF-RH-t2m-TCWV-tp-UW-VW-MSLP,592.0919799804688
2445,MER-MSSHF-t2m-TCC-TCWV-tp-UW-MSLP-SST-Z500,592.2537231445312
3046,MER-RH-SH-TCC-TCWV-tp-VW-MSLP,592.3641357421875
5897,MER-MSSHF-RH-t2m-TCC-VW-MSLP-Z500,592.4173583984375
1805,MER-MSSHF-SH-t2m-TCC-tp-MSLP,592.42919921875
1513,MER-MSSHF-RH-SH-TCWV-tp-UW-VW-MSLP-Z500,592.52197265625
2956,MER-MSSHF-RH-SH-t2m-TCC-TCWV-UW-MSLP,593.234619140625
296,MER-MSSHF-SH-TCWV-tp-UW-VW-MSLP,593.6096801757812
3448,MER-MSSHF-SH-TCC-tp-UW-VW-MSLP-SST-Z500,593.7291259765625
2343,MSSHF-RH-SH-TCC-TCWV-tp-UW-VW-SST-Z500,593.76416015625
1064,MER-MSSHF-RH-SH-TCWV-tp-UW-VW-SST-Z500,594.0824584960938
5851,MER-MSSHF-RH-SH-TCC-TCWV-UW-MSLP-SST,594.1234741210938
5939,MER-MSSHF-RH-SH-t2m-TCC-tp-UW-VW-MSLP,594.26318359375
6233,MSSHF-RH-SH-t2m-TCC-TCWV-tp-UW-VW-MSLP,594.349609375
1077,MER-MSSHF-RH-SH-t2m-TCC-tp-UW,594.3858642578125
2429,MER-MSSHF-RH-t2m-TCC-TCWV-tp-UW-VW-MSLP,594.6070556640625
1361,MER-MSSHF-SH-TCWV-tp-UW-VW-SST-Z500,594.7455444335938
2313,MER-MSSHF-SH-t2m-TCC-TCWV-UW-MSLP-Z500,594.8172607421875
3362,MER-MSSHF-RH-SH-TCC-TCWV-UW-SST-Z500,595.4400024414062
284,MER-MSSHF-RH-t2m-TCWV-UW-VW-MSLP-Z500,595.810302734375
4616,MER-MSSHF-RH-t2m-TCWV-tp-UW-VW-MSLP-Z500,595.997314453125
2607,MSSHF-t2m-TCC-TCWV-tp-UW-MSLP-SST,596.005126953125
2225,MER-MSSHF-RH-SH-t2m-TCC-TCWV-tp-UW,596.2630615234375
4027,MER-MSSHF-RH-t2m-TCC-TCWV-UW-VW-SST-Z500,596.44775390625
4475,MER-MSSHF-RH-SH-t2m-TCC-tp-UW-VW-SST,596.7463989257812
1568,MER-MSSHF-RH-SH-t2m-TCC-TCWV-tp-SST-Z500,596.9745483398438
1680,MSSHF-RH-SH-TCWV-tp-UW-VW-MSLP-SST-Z500,597.0200805664062
5365,MSSHF-RH-SH-t2m-TCC-UW-Z500,597.1079711914062
6103,MER-MSSHF-SH-TCWV-tp-VW-MSLP-SST-Z500,597.1097412109375
